data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);;
20181129;0,1145;3,7728;2,7627;0,4823;2,8395;2,5913;2,7514;4,29;1,3273;3,796;4,8216;0,133;3,3305;0,1654;0,5748;3,0148;0,4404;0,4166;0,5784;0,9212;2,1935;0,7323;1,0157;0,559;0,072;0,1869;0,276;0,9797;0,9014;0,0567;2,6232;5,3976;0,3366;0,5432;5,2453;232;232/A/NBP/2018
20181130;0,1147;3,7731;2,7553;0,4824;2,835;2,5892;2,7522;4,2904;1,326;3,7873;4,8161;0,1339;3,3246;0,1653;0,575;3,0778;0,4403;0,415;0,5785;0,9207;2,1937;0,7307;1,0182;0,5627;0,072;0,1859;0,2747;0,9793;0,9017;0,0565;2,6381;5,4063;0,3362;0,5433;5,212;233;233/A/NBP/2018
20181203;0,115;3,7672;2,7812;0,4818;2,8582;2,6078;2,7578;4,2818;1,3281;3,7768;4,8148;0,1337;3,321;0,165;0,5738;3,0716;0,4421;0,4177;0,5784;0,9196;2,1892;0,7224;1,0135;0,5609;0,072;0,1882;0,2766;0,9742;0,9044;0,0567;2,6455;5,3684;0,3392;0,5471;5,2141;234;234/A/NBP/2018
20181204;0,1147;3,7516;2,7729;0,4807;2,8499;2,6141;2,7514;4,281;1,3255;3,7765;4,8058;0,1337;3,3267;0,1651;0,5736;3,0666;0,4434;0,4188;0,5784;0,9202;2,1888;0,7108;1,0045;0,5606;0,0714;0,1853;0,2769;0,9764;0,9046;0,0566;2,6254;5,3141;0,3393;0,5487;5,2228;235;235/A/NBP/2018
20181205;0,1155;3,7832;2,7573;0,4844;2,8469;2,6172;2,7669;4,2896;1,3244;3,7899;4,8144;0,1352;3,3489;0,1656;0,5747;3,0728;0,4443;0,4201;0,5795;0,9217;2,1933;0,7073;1,0131;0,5641;0,0717;0,1851;0,2751;0,982;0,9107;0,0567;2,6281;5,3654;0,3398;0,5515;5,2169;236;236/A/NBP/2018
20181206;0,1153;3,7844;2,7287;0,4843;2,8171;2,6008;2,7614;4,2919;1,3261;3,7955;4,8221;0,1358;3,3605;0,1657;0,575;3,0833;0,442;0,4197;0,5807;0,922;2,1944;0,7043;1,0138;0,5626;0,0716;0,1838;0,2707;0,9782;0,9087;0,0565;2,6063;5,3438;0,3374;0,5493;5,2359;237;237/A/NBP/2018
20181207;0,1149;3,7694;2,7232;0,4823;2,8146;2,5955;2,7518;4,2845;1,3261;3,7924;4,8084;0,1355;3,3406;0,1656;0,574;3,1002;0,4416;0,4179;0,5797;0,9216;2,1906;0,7045;1,0077;0,558;0,0714;0,1849;0,2675;0,9717;0,9048;0,0563;2,605;5,334;0,3362;0,5475;5,2224;238;238/A/NBP/2018
20181210;0,1145;3,76;2,7145;0,4811;2,8229;2,5899;2,744;4,2911;1,3276;3,7996;4,7852;0,1355;3,3356;0,166;0,5749;3,0783;0,4435;0,4154;0,5809;0,9226;2,194;0,7116;1,0081;0,5572;0,0712;0,1855;0,2645;0,9623;0,9011;0,0567;2,5833;5,2674;0,3337;0,544;5,2287;239;239/A/NBP/2018
20181211;0,1151;3,7763;2,7208;0,4832;2,8154;2,595;2,7515;4,2982;1,3289;3,8266;4,7647;0,1363;3,3407;0,1662;0,5758;3,0658;0,4432;0,4177;0,5818;0,9236;2,1976;0,7024;1,0086;0,5567;0,0715;0,1858;0,2622;0,9638;0,9025;0,0568;2,5865;5,251;0,3339;0,5471;5,2122;240;240/A/NBP/2018
20181212;0,1157;3,7934;2,7378;0,4853;2,8368;2,6024;2,763;4,2993;1,3287;3,8191;4,7556;0,1361;3,343;0,1662;0,576;3,0709;0,4424;0,4151;0,5819;0,9228;2,1982;0,7095;1,012;0,5549;0,0721;0,1884;0,2655;0,9717;0,9064;0,0571;2,5988;5,2678;0,3361;0,5506;5,2296;241;241/A/NBP/2018
